OP,NOMBRE DE PRODUCTO (IGUAL A LA OP),LOTE,¿BR COMPLETO?,OBSERVACIONES ,UBICACIÓN ASIGNADA,,,,,,
23232,VANOVET ,310VV12,SI,,135,,,,,,
23233,VANOVET,310VV13,SI,,136,,,,,,
23297,VANOVET ,312VV16,SI,,136,,,,,,
23235,VANOVET ,310VV15,SI,,136,,,,,,
23234,VANOVET ,310VV14,SI,,136,,,,,,
24138,VANOVET ,405VV04,SI,,137,,,,,,
24133,VANOVET ,404VV03,SI,,137,,,,,,
24071,VANOVET ,403VV02,SI,,137,,,,,,
23298,VANOVET ,312VV17,SI,,137,,,,,,
24153,VANOVET ,405VV05,SI,,138,,,,,,
24183,VANOVET,406VV06,SI,,138,,,,,,
24194,VANOVET ,406VV07,SI,,138,,,,,,
24195,VANOVET ,407VV08,SI,,138,,,,,,
25079,VANOVET ,504VV02,SI,,139,,,,,,
24252,VANOVET ,409VV10,SI,,139,,,,,,
24251,VANOVET ,409VV09,SI,,139,,,,,,
24301,VANOVET ,409VV11,SI,,139,,,,,,
25082,VANOVET ,505VV05,SI,,140,,,,,,
25081,VANOVET ,504VV04,SI,,140,,,,,,
25080,VANOVET ,504VV03,SI,,140,,,,,,
25080,VANOVET ,502VV01,SI,,140,,,,,,
25319,VANOVET ,507VV06,NO,Pendiente portada de liberación de BR ,141,,,,,,
25423,VANOVET ,511VV08,SI,,141,,,,,,
25422,VANOVET ,511VV07,SI,pendiente firma c ruge ,141,,,,,,
23012,QB-COMPLEX,304QC01,SI,,142,,,,,,
23176,QB-COMPLEX,309QC02,SI,,142,,,,,,
25140,PULPHOX,504PH01,SI,,143,,,,,,
23075,PULPHOX,304PH01,SI,,143,,,,,,
23115,AUROFRESH CHAMPU,304AF04,SI,,144,,,,,,
23199,Q-TYCON,310QT02,SI,,145,,,,,,
23032,Q-TYCON ,304QT01,SI,,145,,,,,,
25088,Q-TYCON ,503QT01,SI,,145,,,,,,
25250,Q-TYCON ,505QT02,NO,Falta anexar inspección y checklist de liberación ,145,,,,,,
23008,Q-OXY 200L LA,301OX01,SI,,146,,,,,,
23060,Q-MICOSMECTIN,304MC01,SI,,147,,,,,,
23165,ANAPIRAN,309AN02,SI,,1,,,,,,
24060,ANAPIRAN,404AN03,NO,"No tiene portada , y no se evidencia inspección pero si tiene certificados ",1,,,,,,
25119,AUROFARVIT INYECTABLE ,503FI03,SI,,10,,,,,,
25198,AUROFARVIT INYECTABLE ,505FI04,SI,,10,,,,,,
25242,AUROFARVIT INYECTABLE ,505FI05,SI,,10,,,,,,
25329,AUROFARVIT INYECTABLE ,509FI06,SI,,11,,,,,,
25132,AUROFARVIT ORAL,503FO05,SI,,11,,,,,,
24112,AUROVITEL,405AV02,SI,,11,,,,,,
23019,AUROFARVIT ORAL,302FO02,SI,"Tiene 2 observaciones:
-Lotes incorrectos de ácido fosfórico
-solo se utiliza un lote de ácido láctico, glicerina, ácido fosfórico y sabor durazno ",12,,,,,,
23077,AUROFARVIT ORAL ,302FO03,SI,Requiere correccion el la fecha del informe del certificado de la inspección de PT.,12,,,,,,
23108,AUROFARVIT ORAL ,304FO04,SI,corregir # de OP,12,,,,,,
23110,AUROFARVIT ORAL ,305FO06,SI,,12,,,,,,
23111,AUROFARVIT ORAL ,305FO07,SI,,13,,,,,,
23137,AUROFARVIT ORAL ,307FO08,SI,,13,,,,,,
23138,AUROFARVIT ORAL,307FO09,SI,,13,,,,,,
23139,AUROFARVIT ORAL,307FO10,SI,,13,,,,,,
23196,AUROFARVIT ORAL,310FO11,SI,,13,,,,,,
23197,AUROFARVIT ORAL,310FO12,SI,,13,,,,,,
23018,AUROFARVIT ORAL ,302FO01,SI,,14,,,,,,
23198,AUROFARVIT ORAL ,310FO13,SI,,14,,,,,,
23270,AUROFARVIT ORAL ,312FO14,SI,,14,,,,,,
23271,AUROFARVIT ORAL ,312FO15,SI,,14,,,,,,
23272,AUROFARVIT ORAL,312FO16,SI,,14,,,,,,
